Performance Summary for Keller-4 (Bron-Kerbosch)
============================================================
Search Metric          Value         | Efficiency Metric      Value
------------------------------------------------------------
Total Runs:            100           | Mean Runtime:          3.3301 s
Success Rate:          100.0%         | Median Runtime:        0.3253 s
Unique Cliques:        73/100      | Min Runtime:           0.0153 s
Mean Rec. Calls:       125,626       | Max Runtime:           22.1595 s
============================================================

Detailed Clique List:
Run 1: [3, 8, 34, 36, 58, 65, 90, 147, 152, 161, 183, 185]
Run 2: [2, 4, 35, 90, 97, 104, 129, 136, 147, 202, 229, 235]
Run 3: [0, 18, 25, 56, 62, 91, 118, 147, 149, 173, 180, 191]
Run 4: [1, 10, 19, 88, 97, 106, 128, 134, 163, 200, 229, 235]
Run 5: [3, 13, 39, 46, 53, 85, 108, 140, 151, 158, 178, 180]
Run 6: [3, 5, 34, 75, 100, 106, 128, 137, 146, 219, 224, 233]
Run 7: [0, 9, 27, 35, 37, 66, 123, 148, 154, 162, 176, 185]
Run 8: [0, 6, 24, 78, 97, 106, 133, 140, 168, 222, 224, 230]
Run 9: [0, 6, 24, 35, 42, 78, 97, 133, 140, 169, 175, 183]
Run 10: [8, 17, 26, 48, 62, 83, 141, 149, 155, 180, 191, 246]
Run 11: [2, 4, 28, 37, 46, 103, 124, 135, 145, 159, 181, 190]
Run 12: [3, 5, 27, 32, 41, 98, 123, 130, 148, 154, 176, 185]
Run 13: [0, 6, 30, 37, 44, 103, 126, 135, 145, 159, 181, 188]
Run 14: [6, 20, 31, 48, 62, 93, 120, 131, 149, 155, 177, 186]
Run 15: [3, 24, 59, 65, 96, 121, 135, 153, 171, 209, 227, 245]
Run 16: [3, 5, 38, 47, 61, 93, 100, 132, 150, 159, 186, 188]
Run 17: [0, 11, 18, 42, 44, 73, 129, 135, 159, 166, 173, 228]
Run 18: [1, 19, 24, 57, 63, 90, 119, 146, 148, 172, 181, 190]
Run 19: [2, 12, 38, 45, 52, 74, 146, 156, 170, 177, 184, 212]
Run 20: [12, 21, 30, 50, 52, 87, 129, 153, 159, 179, 184, 250]
Run 21: [1, 8, 34, 44, 58, 90, 100, 132, 146, 156, 182, 189]
Run 22: [6, 20, 31, 48, 62, 93, 120, 131, 149, 155, 177, 186]
Run 23: [0, 6, 30, 72, 101, 108, 131, 138, 174, 216, 224, 230]
Run 24: [0, 14, 22, 36, 45, 72, 111, 131, 138, 167, 169, 177]
Run 25: [1, 7, 25, 32, 43, 98, 121, 130, 148, 154, 176, 187]
Run 26: [1, 7, 31, 36, 45, 73, 130, 139, 144, 168, 174, 230]
Run 27: [2, 4, 33, 40, 58, 90, 146, 148, 172, 181, 190, 204]
Run 28: [0, 9, 18, 36, 42, 108, 114, 140, 149, 158, 180, 186]
Run 29: [1, 7, 31, 73, 100, 109, 130, 139, 175, 217, 225, 231]
Run 30: [1, 8, 37, 43, 51, 83, 145, 152, 170, 178, 180, 202]
Run 31: [0, 9, 27, 35, 37, 66, 123, 148, 154, 162, 176, 185]
Run 32: [0, 6, 30, 37, 44, 103, 126, 135, 145, 159, 181, 188]
Run 33: [0, 11, 33, 39, 57, 66, 144, 155, 162, 180, 186, 217]
Run 34: [2, 4, 26, 33, 40, 99, 122, 131, 149, 155, 177, 184]
Run 35: [0, 11, 18, 36, 42, 73, 108, 129, 143, 151, 165, 174]
Run 36: [1, 15, 25, 32, 43, 71, 98, 133, 142, 156, 164, 170]
Run 37: [1, 7, 25, 32, 43, 98, 121, 130, 148, 154, 176, 187]
Run 38: [0, 6, 37, 44, 62, 72, 94, 144, 150, 168, 177, 186]
Run 39: [5, 12, 30, 32, 38, 71, 126, 145, 159, 167, 181, 188]
Run 40: [2, 9, 38, 40, 48, 80, 110, 142, 150, 152, 181, 188]
Run 41: [0, 14, 22, 36, 47, 72, 109, 129, 138, 165, 171, 179]
Run 42: [8, 17, 26, 48, 62, 83, 118, 141, 149, 155, 180, 191]
Run 43: [3, 5, 38, 47, 61, 93, 100, 132, 150, 159, 186, 188]
Run 44: [0, 6, 35, 42, 56, 88, 97, 129, 147, 154, 183, 185]
Run 45: [1, 8, 34, 36, 58, 67, 145, 152, 163, 181, 187, 218]
Run 46: [3, 13, 32, 41, 59, 69, 91, 147, 157, 165, 183, 188]
Run 47: [8, 16, 30, 49, 58, 86, 115, 141, 148, 159, 181, 187]
Run 48: [0, 6, 30, 37, 44, 103, 126, 135, 145, 159, 181, 188]
Run 49: [3, 5, 38, 47, 61, 93, 100, 132, 150, 159, 186, 188]
Run 50: [3, 5, 27, 32, 41, 98, 123, 130, 148, 154, 176, 185]
Run 51: [0, 6, 24, 35, 42, 78, 120, 149, 156, 174, 176, 182]
